Observation,Safe_Belief,Danger_Belief,Selected_Action,G_Stay,G_Move
DANGER,0.13825286179161664,0.8617471382083834,-1,-0.5393231572127402,-0.3862943611198906
SAFE,0.908134174378592,0.09186582562140794,-1,0.20017660912742574,-0.3862943611198906
